match,death_offset,death_n,death_spread,gold_offset,gold_cost,gold_n,horn_minus_spawn_wall,chosen_offset,n_grid,n_ls,pause_seconds
grid-2964617-m1,3.0,6,2.0,4.0,35.0,505,-0.5269999504089355,3.0,339,901,47.80200004577637
grid-2964617-m2,2.0,5,1.0,1.0,50.0,488,-0.6040000915527344,2.0,404,901,0.0
grid-2964619-m1,2.0,11,1.0,2.0,55.0,527,-0.5460000038146973,2.0,440,901,0.0
grid-2964619-m2,3.0,9,1.0,1.0,95.0,473,-1.0399999618530273,3.0,496,901,0.0
grid-2964620-m1,2.5,6,1.0,3.0,70.0,661,-0.6989998817443848,2.5,531,901,0.0
grid-2964620-m2,2.0,20,2.0,2.0,70.0,590,-0.872999906539917,2.0,360,901,0.0
grid-2965523-m1,2.0,17,3.0,2.0,107.0,522,-0.7880001068115234,2.0,612,901,159.03799986839294
grid-2965523-m2,1.0,8,249.0,2.0,42.5,346,48.71799993515015,1.0,336,901,48.45800018310547
grid-2965523-m3,2.0,9,2.0,2.0,90.0,535,-0.4240000247955322,2.0,341,901,0.0
grid-2965524-m1,2.0,13,2.0,3.0,75.0,503,-0.502000093460083,2.0,361,901,0.0
grid-2965524-m2,2.0,12,4.0,3.0,110.0,471,-0.5169999599456787,2.0,430,901,0.0
grid-2965524-m3,3.0,17,1.0,2.0,158.0,580,-0.6150000095367432,3.0,429,901,137.12199997901917
grid-2965525-m1,1.0,13,29.0,1.0,64.0,470,-0.753000020980835,1.0,321,901,86.26899981498718
grid-2965525-m2,3.0,8,1.0,3.0,39.5,510,-0.6029999256134033,3.0,314,901,0.0
grid-2965526-m1,3.0,9,2.0,4.0,64.5,430,-0.6889998912811279,3.0,321,901,100.6300003528595
grid-2965526-m2,3.0,13,2.0,3.0,70.0,516,-0.7460000514984131,3.0,373,901,0.0
grid-2965526-m3,3.0,11,2.0,4.0,71.0,518,-1.1080000400543213,3.0,474,901,119.55099964141846
grid-2965527-m1,2.0,10,2.0,2.0,65.0,453,-0.8959999084472656,2.0,343,901,87.00100016593933
grid-2965527-m2,2.0,19,2.0,3.0,73.0,537,-0.7720000743865967,2.0,392,901,0.0
grid-2965527-m3,3.0,17,1.0,2.0,84.0,517,-0.8139998912811279,3.0,358,901,0.0
grid-2965528-m1,2.0,12,2.0,4.0,63.0,556,-0.8039999008178711,2.0,407,901,0.0
grid-2965528-m2,3.0,8,1.0,3.0,121.0,549,-0.9470000267028809,3.0,410,901,0.0
grid-2965528-m3,1.0,12,1.0,2.0,70.0,518,-0.25799989700317383,1.0,300,901,288.05000019073486
grid-2965529-m1,3.0,12,1.0,3.0,85.0,506,-0.3039999008178711,3.0,404,901,150.57200002670288
grid-2965529-m2,3.0,15,2.0,3.0,90.0,548,-1.0899999141693115,3.0,402,901,0.0
grid-2965529-m3,2.0,27,4.0,3.0,60.5,564,-0.9670000076293945,2.0,331,901,171.3050000667572
grid-2965530-m1,3.0,5,1.0,4.0,87.0,470,-1.0169999599456787,3.0,331,901,95.83000016212463
grid-2965530-m2,3.0,12,2.0,3.0,105.0,504,-0.18499994277954102,3.0,388,901,0.0
grid-2965530-m3,3.0,16,2.0,3.0,70.0,643,-0.9389998912811279,3.0,484,901,239.31699991226196
grid-2967260-m1,2.0,14,24.0,3.0,90.0,585,-0.556999921798706,2.0,588,901,19.634999990463257
grid-2967260-m2,2.0,10,2.0,3.0,52.5,550,-0.6710000038146973,2.0,416,901,0.0
grid-2967260-m3,3.0,20,2.0,3.0,103.0,519,-0.7379999160766602,3.0,344,901,0.0
grid-2967261-m2,3.0,5,1.0,3.0,60.0,512,-0.39800000190734863,3.0,464,901,213.08399987220764
grid-2967261-m4,3.0,11,3.0,1.0,89.0,544,-0.2569999694824219,3.0,509,901,73.06299996376038
grid-2967262-m1,-0.5,6,2.0,0.0,70.0,452,-0.5969998836517334,-0.5,332,901,110.8289999961853
grid-2967262-m2,2.0,3,3.0,3.0,100.0,497,-1.0829999446868896,2.0,582,901,0.0
grid-2967262-m3,2.0,17,2.0,3.0,115.0,551,-0.2609999179840088,2.0,365,901,0.0
grid-2968611-m1,3.0,13,1.0,3.0,113.5,520,-1.1010000705718994,3.0,466,901,283.87799978256226
grid-2968611-m2,3.0,8,1.0,2.0,59.0,492,-0.931999921798706,3.0,546,901,0.0
grid-2968611-m3,3.0,11,2.0,4.0,46.0,595,-1.071000099182129,3.0,488,901,245.76200008392334
grid-2968611-m4,2.0,19,2.0,3.0,43.0,531,-0.5329999923706055,2.0,436,901,183.94599986076355
grid-2968612-m1,2.5,10,1.0,2.0,97.0,485,-0.5199999809265137,2.5,361,901,0.0
grid-2968612-m2,3.0,18,2.0,3.0,65.0,634,-0.9579999446868896,3.0,536,901,31.66100001335144
